idna_subject,checker_type,destination,tested_at
ads.adecosystems.net,AVAILABILITY,origin.list,2022-03-10 05:59:22.030301
dlx.addthis.com,AVAILABILITY,origin.list,2022-03-10 05:59:22.080971
adtag.primetime.adobe.com,AVAILABILITY,origin.list,2022-03-10 05:59:22.137631
get.adolf.tv,AVAILABILITY,origin.list,2022-03-10 05:59:22.313922
secure.leadback.advertising.com,AVAILABILITY,origin.list,2022-03-10 05:59:23.029515
rt.analytics.anvato.net,AVAILABILITY,origin.list,2022-03-10 05:59:23.128814
analytics.anvato.net,AVAILABILITY,origin.list,2022-03-10 05:59:23.134844
gtsdk.batmobi.net,AVAILABILITY,origin.list,2022-03-10 05:59:23.179514
js02.adlooxtracking.com,AVAILABILITY,origin.list,2022-03-10 05:59:23.270220
api.appsee.com,AVAILABILITY,origin.list,2022-03-10 05:59:23.816770
px.britepool.com,AVAILABILITY,origin.list,2022-03-10 05:59:24.078390
prod.bidr.io,AVAILABILITY,origin.list,2022-03-10 05:59:24.084744
as.chango.com,AVAILABILITY,origin.list,2022-03-10 05:59:24.287310
blackhole.chango.com,AVAILABILITY,origin.list,2022-03-10 05:59:24.388533
conductor.clicktale.net,AVAILABILITY,origin.list,2022-03-10 05:59:24.519534
i.connatix.com,AVAILABILITY,origin.list,2022-03-10 05:59:24.941965
rat.nl.eu.criteo.com,AVAILABILITY,origin.list,2022-03-10 05:59:25.073906
apm.crittercism.com,AVAILABILITY,origin.list,2022-03-10 05:59:25.170402
pub-sdk-cfg.criteo.com,AVAILABILITY,origin.list,2022-03-10 05:59:25.172249
rat.fr.eu.criteo.com,AVAILABILITY,origin.list,2022-03-10 05:59:25.342544
api.crittercism.com,AVAILABILITY,origin.list,2022-03-10 05:59:25.631374
txn.ingest.crittercism.com,AVAILABILITY,origin.list,2022-03-10 05:59:25.820988
5-7-3-ios.userflows.ingest.crittercism.com,AVAILABILITY,origin.list,2022-03-10 05:59:25.871125
5-9-5-ios.userflows.ingest.crittercism.com,AVAILABILITY,origin.list,2022-03-10 05:59:25.881777
rtb-east-wins.crossinstall.com,AVAILABILITY,origin.list,2022-03-10 05:59:25.970600
step-service.crossinstall.io,AVAILABILITY,origin.list,2022-03-10 05:59:26.278735
5-8-12-c45a17f790-android.userflows.ingest.crittercism.com,AVAILABILITY,origin.list,2022-03-10 05:59:26.695656
srv.dc-1.net,AVAILABILITY,origin.list,2022-03-10 05:59:26.809467
collect17070dvntr.deltadna.net,AVAILABILITY,origin.list,2022-03-10 05:59:26.961655
keyword.ad.daum.net,AVAILABILITY,origin.list,2022-03-10 05:59:26.986545
engage17070dvntr.deltadna.net,AVAILABILITY,origin.list,2022-03-10 05:59:27.162411
tag.divvit.com,AVAILABILITY,origin.list,2022-03-10 05:59:27.459251
datacollector-dra.dt.dbankcloud.cn,AVAILABILITY,origin.list,2022-03-10 05:59:27.738711
tps10232.doubleverify.com,AVAILABILITY,origin.list,2022-03-10 05:59:27.822962
bugsee-api-prod.elasticbeanstalk.com,AVAILABILITY,origin.list,2022-03-10 05:59:27.924882
msn.directadvert.ru,AVAILABILITY,origin.list,2022-03-10 05:59:28.059926
boombit-api.exponea.com,AVAILABILITY,origin.list,2022-03-10 05:59:28.153451
sdk-config.fyber.com,AVAILABILITY,origin.list,2022-03-10 05:59:28.542982
wpsconfig4svr.elasticbeanstalk.com,AVAILABILITY,origin.list,2022-03-10 05:59:28.543330
phar.gu-web.net,AVAILABILITY,origin.list,2022-03-10 05:59:28.637779
proton.flurry.com,AVAILABILITY,origin.list,2022-03-10 05:59:28.947128
v.fwmrm.net,AVAILABILITY,origin.list,2022-03-10 05:59:29.020370
collect.igodigital.com,AVAILABILITY,origin.list,2022-03-10 05:59:33.972745
dil.hansel.io,AVAILABILITY,origin.list,2022-03-10 05:59:34.387881
nextgen.guardianapps.co.uk,AVAILABILITY,origin.list,2022-03-10 05:59:34.472120
